Country/Territory,Status,PR Rating,CL Rating,A Aggr,B Aggr,C Aggr,Add A,Add B,PR Aggr,D Aggr,E Aggr,F Aggr,G Aggr,CL Aggr,Total Aggr
Abkhazia*,PF,5,5,5,6,4,0,0,15,8,4,4,5,21,36
Afghanistan,PF,5,5,6,7,4,0,0,17,5,4,3,5,17,34
Albania,PF,3,3,8,11,7,0,0,26,12,8,10,9,39,65
Algeria,NF,6,5,4,4,3,0,0,11,7,6,5,7,25,36
Andorra,F,1,1,12,15,12,0,0,39,16,11,15,15,57,96
Angola,NF,6,5,2,5,1,0,0,8,8,6,4,3,21,29
Antigua and Barbuda,F,2,2,11,12,7,0,0,30,13,9,12,13,47,77
Argentina,F,2,2,11,15,6,0,0,32,14,11,10,13,48,80
Armenia,PF,5,4,5,5,4,0,0,14,8,5,6,9,28,42
Australia,F,1,1,12,15,12,0,0,39,16,12,14,15,57,96
Austria,F,1,1,12,16,12,0,0,40,16,12,15,15,58,98
Azerbaijan,NF,6,5,3,4,3,0,0,10,6,3,4,8,21,31
Bahamas,F,1,1,12,16,10,0,0,38,16,12,15,15,58,96
Bahrain,PF,5,5,21,8,4,0,0,15,9,3,3,7,22,37
Bangladesh,PF,5,4,3,5,4,0,0,12,7,6,6,9,28,40
Barbados,F,1,1,12,16,12,0,0,40,16,12,16,15,59,99
Belarus,NF,7,6,0,2,1,0,0,3,3,0,2,5,10,13
Belgium,F,1,1,12,16,11,0,0,39,16,12,15,15,58,97
Belize,F,1,2,12,14,10,0,0,36,15,11,12,13,51,87
Benin,F,2,2,10,15,8,0,0,33,15,12,12,10,49,82
Bhutan,NF,6,5,3,4,5,0,1,11,7,3,5,8,23,34
Bolivia,PF,3,3,11,13,5,0,0,29,15,10,7,9,41,70
Bosnia and Herzegovina,PF,4,3,8,10,5,0,0,23,11,8,10,10,39,62
Botswana,F,2,2,11,11,9,0,0,31,14,10,13,11,48,79
Brazil,F,2,2,11,14,6,0,0,31,15,10,8,12,45,76
Brunei,NF,6,5,0,3,3,1,0,7,6,3,6,8,23,30
Bulgaria,F,1,2,12,15,9,0,0,36,14,11,12,12,49,85
Burkina Faso,PF,5,3,5,8,4,0,0,17,13,9,6,8,36,53
Burundi,PF,4,5,9,9,4,0,0,22,8,5,4,6,23,45
Cambodia,NF,6,5,3,5,3,0,0,11,10,6,2,6,24,35
Cameroon,NF,6,6,2,4,3,0,0,9,7,3,2,4,16,25
Canada,F,1,1,12,16,12,0,0,40,16,12,15,16,59,99
Cape Verde,F,1,1,12,15,10,0,0,37,15,11,14,13,53,90
Central African Republic,PF,5,5,7,7,3,0,0,17,10,6,3,4,23,40
Chad,NF,7,6,3,1,1,0,0,5,7,4,1,3,15,20
Chechnya,NF,7,7,0,0,0,0,0,0,4,0,0,3,7,7
Chile,F,1,1,12,15,12,0,0,39,16,12,15,15,58,97
China,NF,7,6,0,1,1,0,0,2,4,2,2,8,16,18
Colombia,PF,3,3,10,9,7,0,0,26,12,6,7,10,35,61
Comoros,PF,4,4,8,11,4,0,0,23,10,6,8,6,30,53
Congo (Brazzaville),NF,6,5,1,4,3,0,0,8,9,7,2,6,24,32
Congo (Kinshasa),NF,5,6,6,5,2,0,0,13,6,5,0,1,12,25
Costa Rica,F,1,1,12,15,11,0,0,38,16,11,13,13,53,91
Cote d'Ivoire,NF,7,5,1,2,2,0,0,5,5,4,5,5,19,24
Croatia,F,2,2,12,14,9,0,0,35,14,12,11,13,50,85
Cuba,NF,7,7,0,0,1,0,0,1,2,1,1,2,6,7
Cyprus,F,1,1,11,16,11,0,0,38,15,12,15,15,57,95
