Country/Territory,FIW2003 PR Aggr,FIW2004 PR Aggr,FIW2005 PR Aggr,FIW2003 CL Aggr,FIW2004 CL Aggr,FIW2005 CL Aggr,
Abkhazia*,9,9,9,20,21,21,
Afghanistan,8,9,13,15,14,14,
Albania,26,26,26,42,42,40,
Algeria,11,11,10,22,22,25,
Andorra,39,39,39,57,58,58,
Angola,8,7,8,22,22,22,
Antigua and Barbuda,18,19,30,47,46,47,
Argentina,24,35,35,41,46,48,
Armenia,20,20,16,34,32,28,
Australia,39,39,39,57,57,57,
Austria,40,40,40,58,59,59,
Azerbaijan,11,11,11,24,24,22,
Bahamas,37,37,37,57,57,57,
Bahrain,13,12,12,21,21,21,
Bangladesh,21,21,22,33,33,32,
Barbados,39,39,39,59,59,59,
Belarus,9,7,5,15,14,14,
Belgium,39,40,39,56,59,59,
Belize,37,37,37,52,51,52,
Benin,27,30,30,48,49,49,
Bhutan,7,6,8,17,17,18,
Bolivia,31,28,29,43,42,43,
Bosnia and Herzegovina,19,22,22,31,34,37,
Botswana,34,34,34,48,48,48,
Brazil,32,32,32,41,42,43,
Brunei,6,7,7,25,23,24,
Bulgaria,36,36,36,50,50,51,
Burkina Faso,20,19,17,34,33,34,
Burundi,9,12,12,18,17,17,
Cambodia,11,9,11,20,23,23,
Cameroon,7,7,11,15,14,16,
Canada,39,40,39,57,59,59,
Cape Verde,37,37,37,52,53,53,
Central African Republic,17,5,9,23,25,24,
Chad,8,8,8,18,18,18,
Chechnya*,0,0,0,5,5,6,
Chile,34,36,38,53,56,56,
China,3,3,2,12,10,15,
Colombia,23,23,23,32,34,34,
Comoros,13,15,18,27,28,29,
Congo (Brazzaville),11,12,12,28,30,30,
Congo (Kinshasa),6,8,8,12,13,13,
Costa Rica,38,38,38,52,52,54,
Cote d’Ivoire,11,11,6,15,20,15,
Croatia,31,31,34,49,48,48,
Cuba,3,2,1,7,7,7,
Cyprus,39,39,39,57,57,57,
Czech Republic,37,37,37,47,52,56,
Denmark,40,40,40,59,59,59,
Djibouti,18,15,15,25,24,24,
Dominica,39,38,38,55,53,53,
Dominican Republic,30,27,32,48,46,46,
Ecuador,24,27,27,40,40,41,
Egypt,7,7,7,16,16,18,
El Salvador,32,30,30,43,43,43,
Equatorial Guinea,3,3,2,14,14,13,
Eritrea,3,3,3,12,12,11,
Estonia,37,37,38,50,52,55,
Ethiopia,12,12,12,20,20,21,
Fiji,22,21,20,41,41,41,
Finland,40,38,40,59,60,60,
France,39,38,38,56,57,57,
Gabon,16,13,13,34,32,31,
Georgia,19,21,24,32,32,34,
Germany,38,40,40,56,58,59,
Ghana,31,33,35,41,44,47,
Greece,36,36,37,45,50,52,
Grenada,36,36,36,50,50,50,
Guatemala,22,21,22,33,30,30,
Guinea,11,11,9,22,25,22,
Guinea-Bissau,21,6,20,25,28,30,
Guyana,30,30,31,45,45,44,
Haiti,9,9,5,16,12,14,
Honduras,27,26,26,41,40,40,
Hong Kong*,17,17,16,43,43,48,
Hungary,37,37,37,52,52,55,
Iceland,40,40,40,58,60,60,
India,31,33,34,40,41,42,
Indian Kashmir*,17,15,15,21,23,25,
Indonesia,26,25,29,32,34,34,
Iran,10,10,10,16,15,15,
Iraq,-2,5,5,1,18,19,
Ireland,38,40,40,55,58,58,
Israel,40,38,38,43,43,43,
Israeli-Occupied Territories*,4,7,6,15,16,16,
Italy,38,38,38,54,54,53,
Jamaica,30,30,30,43,43,42,
Japan,36,36,37,52,52,52,
Jordan,10,12,12,25,25,27,
Kazakhstan,8,8,9,21,20,22,
Kenya,18,26,26,30,39,40,
Kiribati,37,37,37,54,56,56,
Kosovo*,12,12,9,22,23,19,
Kuwait,18,18,18,24,24,24,
Kyrgyzstan,11,11,10,22,24,25,
Laos,3,2,1,9,11,12,
Latvia,36,36,36,50,50,51,
Lebanon,6,6,8,24,24,25,
Lesotho,30,31,31,41,41,41,
Liberia,9,6,12,13,16,28,
Libya,2,2,1,6,5,6,
Liechtenstein,40,40,40,58,59,59,
Lithuania,38,38,35,51,52,52,
Luxembourg,44,40,40,57,60,60,
Macedonia,27,27,26,37,38,37,
Madagascar,24,25,24,34,37,37,
Malawi,23,25,23,32,32,34,
Malaysia,17,17,19,25,28,30,
Maldives,9,9,9,22,23,22,
Mali,30,30,31,43,45,44,
Malta,40,40,40,59,59,59,
Marshall Islands,37,37,37,53,55,55,
Mauritania,16,11,10,25,24,23,
Mauritius,36,36,36,52,52,53,
Mexico,33,33,32,44,44,44,
Micronesia,36,36,36,52,55,56,
Moldova,28,28,24,32,32,33,
Monaco,31,31,31,55,56,55,
Mongolia,34,34,33,48,49,49,
Morocco,17,17,17,24,24,27,
Mozambique,25,25,25,34,34,34,
Myanmar,2,0,-1,6,7,6,
Nagorno-Karabakh*,14,14,14,21,21,21,
Namibia,33,33,32,43,43,42,
Nauru,37,38,38,49,54,55,
Nepal,21,17,16,29,28,25,
Netherlands,40,40,40,58,60,59,
New Zealand,39,39,39,58,57,57,
Nicaragua,25,25,25,42,37,38,
Niger,23,23,27,29,33,35,
Nigeria,19,19,19,25,26,26,
North Korea,0,0,0,0,0,0,
Northern Cyprus*,31,31,34,44,45,45,
